"pkdCode","division"
1,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ"
2,"LEŚNICTWO I POZYSKIWANIE DREWNA"
3,"RYBACTWO"
5,"WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU)"
6,"GÓRNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO"
7,"GÓRNICTWO RUD METALI"
8,"POZOSTAŁE GÓRNICTWO I WYDOBYWANIE"
9,"DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE"
10,"PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH"
11,"PRODUKCJA NAPOJÓW"
12,"PRODUKCJA WYROBÓW TYTONIOWYCH"
13,"PRODUKCJA WYROBÓW TEKSTYLNYCH"
14,"PRODUKCJA ODZIEŻY"
15,"PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH"
20,"PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH"
21,"PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH"
22,"PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH"
17,"PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU"
18,"POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI"
19,"WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ"
23,"PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH"
24,"PRODUKCJA METALI"
27,"PRODUKCJA URZĄDZEŃ ELEKTRYCZNYCH"
29,"PRODUKCJA POJAZDÓW SAMOCHODOWYCH, PRZYCZEP I NACZEP, Z WYŁĄCZENIEM MOTOCYKLI"
30,"PRODUKCJA POZOSTAŁEGO SPRZĘTU TRANSPORTOWEGO"
25,"PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ"
26,"PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH"
28,"PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA"
31,"PRODUKCJA MEBLI"
32,"POZOSTAŁA PRODUKCJA WYROBÓW"
33,"NAPRAWA, KONSERWACJA I INSTALOWANIE MASZYN I URZĄDZEŃ"
351,"Wytwarzanie, przesyłanie, dystrybucja i handel energią elektryczną"
352,"Wytwarzanie paliw gazowych; dystrybucja i handel paliwami gazowymi w systemie sieciowym"
353,"Wytwarzanie i zaopatrywanie w parę wodną, gorącą wodę i powietrze do układów klimatyzacyjnych"
36,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY"
37,"ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW"
38,"DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, PRZETWARZANIEM I UNIESZKODLIWIANIEM ODPADÓW; ODZYSK SUROWCÓW"
39,"DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI"
41,"ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW"
42,"ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ"
43,"ROBOTY BUDOWLANE SPECJALISTYCZNE"
45,"HANDEL HURTOWY I DETALICZNY POJAZDAMI SAMOCHODOWYMI; NAPRAWA POJAZDÓW SAMOCHODOWYCH"
46,"HANDEL HURTOWY, Z WYŁĄCZENIEM HANDLU POJAZDAMI SAMOCHODOWYMI"
47,"HANDEL DETALICZNY, Z WYŁĄCZENIEM HANDLU DETALICZNEGO POJAZDAMI SAMOCHODOWYMI"
49,"TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY"
50,"TRANSPORT WODNY"
51,"TRANSPORT LOTNICZY"
52,"MAGAZYNOWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT"
53,"DZIAŁALNOŚĆ POCZTOWA I KURIERSKA"
55,"ZAKWATEROWANIE"
56,"DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM"
58,"DZIAŁALNOŚĆ WYDAWNICZA"
59,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH"
60,"NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH"
61,"TELEKOMUNIKACJA"
63,"DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI"
62,"DZIAŁALNOŚĆ ZWIĄZANA Z OPROGRAMOWANIEM I DORADZTWEM W ZAKRESIE INFORMATYKI ORAZ DZIAŁALNOŚĆ POWIĄZANA"
64,"FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZÓW EMERYTALNYCH"
65,"UBEZPIECZENIA, REASEKURACJA ORAZ FUNDUSZE EMERYTALNE, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO"
66,"DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE ORAZ UBEZPIECZENIA I FUNDUSZE EMERYTALNE"
68,"DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI"
69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE"
70,"DZIAŁALNOŚĆ FIRM CENTRALNYCH (HEAD OFFICES); DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM"
71,"DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE"
72,"BADANIA NAUKOWE I PRACE ROZWOJOWE"
73,"REKLAMA, BADANIE RYNKU I OPINII PUBLICZNEJ"
74,"POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA"
75,"DZIAŁALNOŚĆ WETERYNARYJNA"
77,"WYNAJEM I DZIERŻAWA"
78,"DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM"
80,"DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA"
81,"DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI"
84,"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE ZABEZPIECZENIA SPOŁECZNE"
85,"EDUKACJA"
86,"OPIEKA ZDROWOTNA"
87,"POMOC SPOŁECZNA Z ZAKWATEROWANIEM"
88,"POMOC SPOŁECZNA BEZ ZAKWATEROWANIA"
90,"DZIAŁALNOŚĆ TWÓRCZA ZWIĄZANA Z KULTURĄ I ROZRYWKĄ"
91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ"
92,"DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI LOSOWYMI I ZAKŁADAMI WZAJEMNYMI"
93,"DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA"
94,"DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH"
95,"NAPRAWA I KONSERWACJA KOMPUTERÓW I ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO"
96,"POZOSTAŁA INDYWIDUALNA DZIAŁALNOŚĆ USŁUGOWA"
97,"GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW"
98,"GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY"
9900,"ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE"
